mine_name,latitude,longitude,mine_type,resource_extracted,depth,killed,injured,temperature,humidity,wind_speed,weather_desc,AQI,CO,NO2,SO2,PM2.5,PM10,Slope_Angle,accident_year,accident_month,accident_weekday,Seismic_Magnitude,Seismic_Depth,hazard_type
Coal mine in Shallang area of West Khasi Hills,25.56594,91.91069,opencast,coal,300,2,0,14.63,40,clear sky,1.5,5,534.06,3.17,5.78,87.94,103.42,7.653741859353187,2022,2,2,4.3,212.165,Other
Abandoned coal mine -  Gopinathpur Open Cast Project  ,23.78025,85.90556,opencast,coal,300,5,0,27.51,10,overcast clouds,1.68,4,580.79,7.2,5.66,54.77,70.45,19.99911620035707,2022,2,2,4.3,212.165,Other
Bhiwani mining site,28.799,76.1335,opencast,coal,300,5,2,23.24,10,clear sky,2.81,4,841.14,23.31,5.13,51.0,82.36,3.171948883089653,2022,1,6,4.3,35.761,Other
SRP-3 mine in Srirampur in Mancherial district,18.75,79.25,underground,coal,300,4,0,29.73,43,overcast clouds,1.28,2,480.65,7.03,2.33,15.48,25.49,1.348677678917681,2021,11,2,4.3,35.761,Mine Collapse
SRIRAMPUR NO.3 & 3 A,18.75,79.25,underground,coal,300,4,0,29.73,43,overcast clouds,1.28,2,480.65,7.03,2.33,15.48,25.49,1.348677678917681,2021,11,2,4.3,35.761,Mine Collapse
Mining site for quartz stone,27.70958,76.12653,opencast,quartz ,400,7,0,23.68,9,clear sky,1.6,3,647.54,15.42,5.84,42.68,73.23,0.9274099368611016,2021,8,2,4.3,35.761,Mine Collapse
Central Asset Mine- OCS Tengakhat,27.38511,95.16631,opencast,petroleum,600,1,0,24.48,37,overcast clouds,0.98,5,727.65,10.45,1.33,83.66,91.51,1.854334168853263,2021,7,4,4.3,212.165,Other
Rampura Agucha  Mine,25.84182,74.75449,metallic,zinc,450,2,0,23.61,22,clear sky,1.17,3,387.19,7.8,2.68,28.87,52.66,2.770752573411479,2021,6,0,4.3,35.761,Other
Sonepur Bazari Opencast Project Mine,23.68823,87.22376,opencast,coal,300,2,0,27.59,52,scattered clouds,2.77,5,1241.68,27.76,19.55,108.81,136.22,1.012721812570495,2021,6,2,4.3,212.165,Other
Kakatiya Khani  coalmine,18.43359,79.85858,underground,coal,300,2,0,28.58,46,few clouds,2.86,2,453.95,4.8,1.21,17.44,24.25,0.9274099368611016,2021,4,2,4.3,212.165,Mine Collapse
Moonidih Coal Project area ,23.73889,86.3475,underground,coal,300,2,0,28.48,10,overcast clouds,0.87,4,647.54,10.54,8.94,58.34,79.64,1.373364975658167,2021,2,2,4.3,212.165,Mine Collapse
Mathur quarry  ,13.24053,79.56719,opencast,stone quarry,300,1,2,23.81,83,scattered clouds,1.4,2,327.11,3.9,1.62,18.43,25.83,0.9527319005652068,2021,2,3,4.3,212.165,Other
Illegal mica mine ,23.80519,86.49897,metallic,mica,300,4,2,27.97,10,overcast clouds,0.17,4,627.52,8.48,7.99,58.97,80.95,24.7380600874929,2021,1,5,4.3,212.165,Mine Collapse
Illegal coal mines ,25.62325,91.86336,opencast,coal,300,6,0,16.57,39,clear sky,1.8,5,607.49,4.24,3.55,96.03,110.11,21.75503002744044,2021,1,3,4.3,212.165,Other
Khudiya Kadan mine ,23.77374,86.72969,opencast,stone quarry,300,2,2,28.4,10,overcast clouds,0.65,5,1001.36,22.62,16.93,81.69,112.2,2.112834618483633,2020,12,1,4.3,212.165,Flooding
Srirampur RK 5B underground mine ,18.88,79.50222,underground,coal,300,1,4,29.82,43,overcast clouds,0.86,2,500.68,15.25,17.88,17.49,26.85,2.947482510827522,2020,9,2,4.3,35.761,Other
Kusmunda OC Mine,22.255,82.70222,opencast,coal,300,1,0,26.47,15,overcast clouds,1.92,4,460.63,6.08,20.27,56.15,61.65,2.207391514122339,2020,7,3,4.3,212.165,Other
Kurasia Underground Mine,23.17849,82.36822,underground,coal,300,1,0,23.49,18,overcast clouds,0.27,4,600.82,6.26,1.13,68.65,73.94,5.35919407518148,2020,6,1,4.3,212.165,Other
Churcha Mine,23.33595,82.51961,opencast,coal,300,1,0,24.3,14,overcast clouds,2.15,4,433.92,3.94,3.61,52.99,57.52,3.434418407889364,2020,5,4,4.3,212.165,Other
Ananta Opencast Mine,20.95339,85.15342,opencast,coal,300,1,0,24.63,76,clear sky,2.67,3,534.06,6.34,1.82,31.15,39.92,3.834864237634739,2020,5,6,4.3,212.165,Other
Ramakrishnapur Opencast Project Mine,18.90306,79.46583,opencast,coal,300,1,0,29.93,43,overcast clouds,0.86,2,500.68,15.25,17.88,17.49,26.85,2.697155960471982,2020,1,4,4.3,35.761,Other
Granite Building Stone Quarry Mine,9.15103,76.78622,opencast,Granite,300,2,0,23.38,98,few clouds,0.26,3,847.82,23.65,7.87,41.39,56.98,2.078395176999502,2020,1,2,4.3,35.761,Other
Hirakund Bundia Mine,21.78183,83.91514,opencast,iron ore,300,0,1,24.87,17,scattered clouds,3.68,4,520.71,3.86,12.28,70.45,78.06,1.362771263725366,2020,1,1,4.3,212.165,Other
Ravindra Khani No. 6 Incline Mine,18.89081,79.50225,opencast,coal,300,1,0,29.77,43,overcast clouds,0.86,2,500.68,15.25,17.88,17.49,26.85,1.349273529529022,2019,12,0,4.3,35.761,Other
Mungoli Opencast Mine,20.05,78.95,opencast,coal,300,1,0,30.0,39,few clouds,1.49,4,620.84,8.4,4.11,70.82,80.86,5.974394877157449,2019,6,1,4.3,35.761,Other
Krishna Sai Granite Mine II,15.56144,79.92667,opencast,Granite,300,1,0,26.68,79,few clouds,1.69,2,277.04,0.71,0.24,18.97,28.0,2.941746952874391,2019,9,3,4.3,212.165,Other
Bharatpur Opencast Mine,20.96612,85.18492,opencast,coal,300,4,0,24.4,77,clear sky,2.87,3,534.06,6.34,1.82,31.15,39.92,3.414774378126485,2019,7,1,4.3,212.165,Other
BHUBANESWARI OPENCAST PROJECT,20.96612,85.18492,opencast,coal,300,4,0,24.4,77,clear sky,2.87,3,534.06,6.34,1.82,31.15,39.92,3.414774378126485,2019,7,1,4.3,212.165,Other
Bhubneshwari Colliery,20.96919,85.17644,opencast,coal,300,1,0,24.4,77,clear sky,2.87,3,534.06,6.34,1.82,31.15,39.92,0.9931727496754658,2019,6,3,4.3,212.165,Other
Dinesh Granite Mine,12.89403,77.76228,opencast,Granite,300,1,0,22.63,72,clear sky,2.47,2,383.85,7.54,6.91,14.73,18.26,3.979816631209909,2019,5,3,4.3,35.761,Other
Balram Opencast Mine,20.95083,85.10053,opencast,coal,300,1,0,24.59,73,few clouds,2.53,3,534.06,6.34,1.82,31.15,39.92,2.103171233860991,2019,5,1,4.3,212.165,Other
Balram OCP,20.95083,85.10053,opencast,coal,300,1,0,24.59,73,few clouds,2.53,3,534.06,6.34,1.82,31.15,39.92,2.103171233860991,2019,5,1,4.3,212.165,Other
Hutti Gold Mine,16.19694,76.66,opencast,gold,450,0,1,28.09,33,few clouds,1.04,4,667.57,22.96,5.48,51.21,63.23,1.338807898266162,2019,5,0,4.3,35.761,Other
Kalane Iron Ore Mine,15.76806,73.92583,opencast,iron ore,300,1,0,25.74,89,broken clouds,1.16,3,407.22,7.11,1.42,39.27,59.71,15.65370608856559,2019,4,2,4.3,35.761,Other
Kammaturu Iron Ore Mine,15.01106,76.58033,opencast,iron ore,300,1,0,25.25,50,overcast clouds,1.51,3,310.42,3.77,0.58,26.01,36.75,8.111685480213563,2019,4,5,4.3,35.761,Other
Balram Opencast Mine,20.95083,85.10053,opencast,coal,300,1,0,24.59,73,few clouds,2.53,3,534.06,6.34,1.82,31.15,39.92,2.103171233860991,2019,3,3,4.3,212.165,Other
Balram OCP,20.95083,85.10053,opencast,coal,300,1,0,24.59,73,few clouds,2.53,3,534.06,6.34,1.82,31.15,39.92,2.103171233860991,2019,3,3,4.3,212.165,Other
Muthurayaswamy Stone Crusher,12.72256,77.92197,opencast,stone quarry,300,1,1,22.72,76,clear sky,2.56,2,360.49,4.41,5.07,16.84,20.61,4.999491819519572,2019,3,2,5.9,36.7,Other
Gare Palma IV/4 Coal mine,22.1419,83.56049,opencast,coal,300,1,0,25.88,11,broken clouds,3.48,4,413.9,3.9,25.99,53.94,68.2,6.824036225159549,2019,2,0,5.9,36.7,Other
Kalipahari Colliery,23.65,87.06667,opencast,coal,300,1,0,27.66,39,scattered clouds,2.61,5,1001.36,23.31,11.21,79.99,105.96,2.1123751727227,2019,2,5,5.9,36.7,Other
Midwest Granite Mine,17.41311,78.43131,opencast,Granite,300,1,0,26.36,57,scattered clouds,3.68,2,420.57,9.0,9.3,13.29,20.33,6.257699880458954,2019,2,4,5.9,36.7,Other
Khottadih Colliery,23.72556,87.23861,opencast,coal,300,1,0,27.85,48,scattered clouds,2.69,5,1241.68,27.76,19.55,108.81,136.22,2.958543091464265,2019,2,0,5.9,36.7,Other
Illegal rat-hole coal mine,25.40003,91.95011,opencast,coal,300,17,5,17.53,39,few clouds,1.57,5,534.06,3.17,5.78,87.94,103.42,29.45793042903182,2018,12,3,5.9,36.7,Flooding
Kumda 7&8 Inclines Mine ,23.23647,82.9985,underground,coal,300,2,1,24.09,14,overcast clouds,2.52,4,453.95,17.65,25.99,70.32,80.11,1.370526097537869,2018,11,4,5.9,36.7,Other
Lingaraj Opencast Project,20.96067,85.20072,opencast,coal,300,1,1,24.4,77,clear sky,2.87,2,433.92,4.46,1.55,23.73,32.21,3.414733787697019,2018,10,2,5.9,36.7,Other
Jharia Underground Mine ,23.73333,86.41667,underground,coal,300,1,0,28.57,10,overcast clouds,0.67,5,921.25,22.28,14.78,76.08,103.85,8.103832257161066,2018,10,2,5.9,36.7,Other
Dhori Khas Colliery ,23.78006,86.01344,opencast,coal,300,1,0,27.34,10,overcast clouds,1.54,4,580.79,6.94,6.56,54.83,71.92,9.528231042933552,2018,9,4,5.9,36.7,Other
Kulda OCP ,22.03292,83.74975,opencast,coal,300,1,1,26.74,11,broken clouds,4.22,4,423.91,1.82,11.8,57.56,70.28,3.138571392119257,2018,9,0,5.9,36.7,Other
Koyagudem Opencast Mine -1 ,17.6256,80.4867,opencast,coal,300,1,0,27.77,62,overcast clouds,2.12,2,347.14,5.66,13.35,24.6,34.42,2.093829758481542,2018,9,6,5.9,36.7,Other
Garjanbahal OCP .,22.0345,83.7427,opencast,coal,300,1,0,26.74,11,broken clouds,4.22,4,423.91,1.82,11.8,57.56,70.28,10.96568899340033,2018,9,5,5.9,36.7,Other
Bharatpur Opencast Mine ,20.94433,85.10892,opencast,coal,300,1,0,24.48,74,few clouds,2.61,3,534.06,6.34,1.82,31.15,39.92,2.191029497602462,2018,8,4,5.9,36.7,Other
Koyla Colliery ,23.80633,86.46342,underground,coal,300,1,0,28.17,10,overcast clouds,0.27,4,627.52,8.48,7.99,58.97,80.95,2.745927817034195,2018,8,2,5.9,36.7,Other
Peddapuram Granite Mine ,17.0757,82.136,opencast,Granite,300,1,3,25.43,76,broken clouds,0.71,3,500.68,11.48,4.23,27.66,41.94,0.970170361185662,2018,8,4,5.9,36.7,Other
Tapin North OCP ,23.75,86.05,opencast,coal,300,4,7,27.58,10,overcast clouds,1.49,4,580.79,6.94,6.56,54.83,71.92,2.112746591543525,2018,7,5,5.9,36.7,Mine Collapse
Dhedwas Iron Ore and Associated Mineral   Mine ,25.3264,74.5383,opencast,iron ore,400,1,0,24.12,34,clear sky,2.66,3,393.87,6.0,3.34,30.8,52.38,14.51803429924273,2018,7,5,4.3,35.761,Other
BVL Exports Granite Mine ,15.37483,80.04317,opencast,Granite,300,1,0,27.22,78,broken clouds,2.68,2,280.38,0.48,0.21,16.43,23.92,1.33599259499459,2018,6,5,5.9,36.7,Other
Bagjata Mine of Uranium Corporation ,22.4686,86.4917,opencast,uranium,500,2,0,27.0,69,overcast clouds,0.96,5,988.01,38.73,30.04,88.0,112.82,4.00817415124377,2018,6,2,5.9,36.7,Other
Jamdiha Stone Mine ,23.90092,86.47175,opencast,stone quarry,150,1,4,27.86,10,overcast clouds,0.35,4,627.52,8.48,7.99,58.97,80.95,1.854334168829563,2018,6,4,5.9,36.7,Other
Birmitrapur Limestone & Dolomite   Mine,22.4074,84.7174,opencast,limestone,150,1,0,27.05,11,overcast clouds,2.68,4,527.38,2.72,5.01,56.44,67.22,4.111673174417836,2018,6,6,5.9,36.7,Other
KTK-OC-1 of Singareni Collieries   Company Ltd.,18.4661,79.8401,opencast,coal,250,1,0,28.67,45,few clouds,2.64,2,453.95,4.8,1.21,17.44,24.25,0.9777437930279405,2018,5,0,5.9,36.7,Other
Kanchan Opencast Mine ,23.36356,80.86111,opencast,coal,250,1,0,24.55,26,overcast clouds,1.4,4,540.73,5.91,2.21,56.5,63.78,5.899509825722134,2018,5,2,5.9,36.7,Other
Purnadih OCP ,23.70617,85.0,opencast,coal,250,1,0,24.11,11,overcast clouds,1.61,4,574.11,7.97,3.34,51.89,66.74,1.373177232676035,2018,4,3,5.9,36.7,Other
KSR Stone Quarry ,17.98342,83.36439,opencast,stone quarry,250,1,0,24.74,83,overcast clouds,1.61,2,387.19,22.28,12.52,20.93,31.13,3.830259550610284,2018,4,1,5.9,36.7,Other
Malanjkhand Copper Mine,22.00961,80.71349,opencast,copper,250,1,1,25.81,17,overcast clouds,1.82,3,460.63,4.28,1.68,36.09,39.38,7.444879586275347,2018,4,0,5.9,36.7,Other
Kalugotla Yellow Ocher Mine,15.5792,78.0267,opencast,Yellow ocher,250,2,0,25.72,66,broken clouds,5.33,3,310.42,1.69,3.55,30.95,39.99,10.79737022913658,2018,3,3,5.9,36.7,Other
Jagannath Colliery ,20.92447,85.14474,opencast,coal,250,1,0,24.42,75,clear sky,2.45,3,534.06,6.34,1.82,31.15,39.92,1.358509426601813,2018,3,5,5.9,36.7,Other
Ramagundam OC III Mine,18.6782,79.5406,opencast,coal,250,0,1,29.58,44,broken clouds,1.31,2,607.49,13.54,6.62,21.68,33.57,1.348375420941006,2018,3,2,5.9,36.7,Other
Amrapali OCP ,23.88948,85.00171,opencast,coal,250,1,0,23.2,11,broken clouds,1.27,4,560.76,3.98,3.55,51.97,65.71,4.452510054845717,2018,3,0,5.9,36.7,Other
Gevra Opencast Mine ,22.35,82.68,opencast,coal,250,1,0,26.68,15,overcast clouds,1.98,4,460.63,6.08,20.27,56.15,61.65,5.44744057292776,2018,3,2,5.9,36.7,Other
Lignite Mine - II ,11.45,79.58333,opencast,lignite,250,1,0,26.61,83,broken clouds,2.6,2,410.56,9.85,22.65,9.76,13.51,2.106740454782221,2018,3,4,5.9,36.7,Other
RG OC2 Mine ,17.44897,78.43753,opencast,coal,250,0,0,27.05,53,scattered clouds,3.88,2,420.57,9.0,9.3,13.29,20.33,3.390600690352059,2018,2,6,5.9,36.7,Other
Kalwan Masonry Stone Mine ,26.85825,75.75847,opencast,st,250,1,0,23.94,10,clear sky,3.68,3,647.54,21.08,12.64,40.95,69.74,0.9274099368611016,2018,2,1,4.3,35.761,Other
Gauti Expansion OC Mine ,19.7874,79.2972,opencast,coal,250,1,0,29.84,40,clear sky,1.66,3,520.71,12.68,16.21,37.79,46.07,3.096100205342771,2018,2,5,5.9,36.7,Other
GOURI EXPANSION AMALGAMATED MINE,19.7874,79.2972,opencast,coal,250,1,0,29.84,40,clear sky,1.66,3,520.71,12.68,16.21,37.79,46.07,3.096100205342771,2018,2,5,5.9,36.7,Other
Samleswari Opencast Mine ,21.80064,83.89331,opencast,coal,250,1,0,24.98,16,broken clouds,3.78,4,480.65,2.7,11.21,70.68,78.74,0.9988330978435002,2018,2,3,5.9,36.7,Other
East Coast Ball Clay Mine ,14.02,79.31839,opencast,ball clay,250,1,0,25.02,86,clear sky,1.28,3,363.83,9.0,14.9,26.57,37.9,4.166288481721381,2018,2,1,5.9,36.7,Other
Manikpur Opencast Mine ,22.3217,82.7381,opencast,coal,250,1,0,26.44,15,overcast clouds,1.79,4,460.63,6.08,20.27,56.15,61.65,3.837308424760268,2018,2,4,5.9,36.7,Fire
Manuguru OCP,17.9312,80.8266,opencast,coal,250,1,1,27.67,67,broken clouds,2.04,2,337.12,5.27,7.33,21.53,29.6,3.458998524393501,2018,1,0,5.9,36.7,Other
Manuguru Opencast Mine,17.9312,80.8266,opencast,coal,250,1,1,27.67,67,broken clouds,2.04,2,337.12,5.27,7.33,21.53,29.6,3.458998524393501,2018,1,0,5.9,36.7,Other
Prakasham Khani Opencast Mine ,17.96017,80.77125,opencast,coal,250,0,1,27.65,66,broken clouds,2.08,3,333.79,3.26,9.66,27.76,36.32,3.459404249843731,2018,1,3,5.9,36.7,Other
Rewat Dungri Range Marble Mine  ,27.04536,74.697,opencast,marble,250,2,0,24.17,9,clear sky,3.77,3,447.27,11.82,3.25,30.95,58.0,0.9274099368611016,2018,1,1,4.3,35.761,Other
Godavari Khani 1 & 3 Incline Mine ,18.74114,79.52711,underground,coal,450,0,0,29.69,44,broken clouds,1.08,2,607.49,13.54,6.62,21.68,33.57,1.958076927545848,2018,1,5,5.9,36.7,Fire
Maheswari Manganese Mine,18.49625,83.31231,opencast,Manganese,250,2,2,25.36,82,broken clouds,0.33,3,627.52,21.94,7.75,40.17,54.09,1.347617425269342,2017,12,1,5.9,36.7,Other
Codli Iron Ore Mine,15.34067,74.12964,opencast,iron ore,250,1,0,25.95,84,broken clouds,0.9,3,574.11,13.2,2.59,43.48,63.0,6.050981194405473,2017,12,5,4.3,35.761,Other
Panchpatmali  Bauxite Mine,18.85647,83.02075,opencast,bauxite,250,1,1,21.38,75,few clouds,1.08,4,547.41,10.63,15.97,62.41,73.89,11.63500962422131,2017,11,2,5.9,36.7,Other
Phularitand Colliery,23.78208,86.22286,underground,coal,600,1,0,28.01,10,overcast clouds,1.12,4,647.54,10.54,8.94,58.34,79.64,2.228098737873313,2017,9,3,5.9,36.7,Other
GDK 7 LEP Mine,18.72889,79.51986,underground,coal,600,1,0,29.69,44,broken clouds,1.08,2,607.49,13.54,6.62,21.68,33.57,5.379488541211582,2017,8,5,5.9,36.7,Other
Massaro Ki Oberi Serpentine Mine,24.01292,73.68853,opencast,coal,600,1,0,27.89,9,clear sky,3.36,3,500.68,6.77,6.44,33.41,54.08,2.748317225179793,2017,7,2,4.3,35.761,Other
Ravindrakhani Newtech Mine,18.8958,79.4917,underground,coal,600,1,0,29.77,43,overcast clouds,0.86,2,500.68,15.25,17.88,17.49,26.85,2.697094630981675,2017,7,4,5.9,36.7,Other
Ravindrakhani No. 8 Incline Mine,18.8958,79.4917,underground,coal,600,1,0,29.77,43,overcast clouds,0.86,2,500.68,15.25,17.88,17.49,26.85,2.697094630981675,2017,7,4,5.9,36.7,Other
Srinivasa Stone Crusher Mine,15.9817,80.0384,opencast,stone quarry,150,1,0,25.81,80,scattered clouds,2.27,2,293.73,1.89,0.49,20.61,29.36,29.31582626222603,2017,7,3,5.9,36.7,Other
Ramagundam Opencast Mine ,18.6976,79.5352,opencast,coal,150,1,0,29.46,44,broken clouds,1.2,2,607.49,13.54,6.62,21.68,33.57,1.34845697043096,2017,6,4,5.9,36.7,Other
Gorumahisani Iron Ore Mine,22.3367,86.2742,opencast,iron ore,150,2,0,26.05,58,overcast clouds,1.29,5,1174.93,45.93,82.02,89.42,103.35,4.090759101087982,2017,5,3,5.9,36.7,Other
Srinivasa Granite Mine,16.05447,80.01447,opencast,Granite,150,3,0,25.63,80,scattered clouds,2.25,2,313.76,2.96,0.77,20.31,29.25,0.96504178858448,2017,5,1,5.9,36.7,Other
Ravindrakhani Newtech Mine,18.8958,79.4917,underground,coal,450,1,1,29.77,43,overcast clouds,0.86,2,500.68,15.25,17.88,17.49,26.85,2.697094630981675,2017,5,2,5.9,36.7,Other
Ravindrakhani No. 8 Incline Mine,18.8958,79.4917,underground,coal,450,1,1,29.77,43,overcast clouds,0.86,2,500.68,15.25,17.88,17.49,26.85,2.697094630981675,2017,5,2,5.9,36.7,Other
Baround Opencast Mine,18.84414,79.49714,opencast,coal,150,1,0,29.86,43,overcast clouds,0.89,2,500.68,15.25,17.88,17.49,26.85,3.913978145997291,2017,4,2,5.9,36.7,Other
Bhurkunda  Colliery,23.7461,85.5831,opencast,coal,150,1,0,26.34,10,overcast clouds,2.06,4,567.44,7.45,4.41,51.85,68.37,4.785132365119876,2017,4,2,5.9,36.7,Other
