mine_id,mine_name,State,latitude,longitude,mine_type,resource_extracted,depth(m),accident_date,killed,injured,remarks,temperature,humidity,wind_speed,weather_desc,AQI,CO,NO2,SO2,PM2.5,PM10,Slope_Angle,Groundwater_Level,Seismic_Activity
MINE355,Sawar Marble Mine,Rajasthan,25.75030555555556,75.21722222222222,opencast, Dolomitic marble mine,300,10.04.2024,1,0,"While two persons were engaged on a marble bottom bench at   a depth of about 60m from surface on eastern side of an opencast mine,   suddenly a part of highwall rock mass measuring about 20m (length) x 24m   (height) x 2.5m (thickness) failed and fell over on bottom bench causing   fatal injury to one person.",24.71,34,clear sky,3.15,3,353.81,3.21,3.22,28.83,50.79,2.257541134187544,No Data,"Mag: 4.3, Depth: 35.761km, Time: 2025-04-02 18:01:33.433000 | Mag: 5, Depth: 10km, Time: 2025-04-02 16:27:12.271000 | Mag: 4.7, Depth: 10km, Time: 2025-04-02 10:45:06.095000 | Mag: 4.7, Depth: 11.223km, Time: 2025-04-02 04:35:28.132000 | Mag: 4.4, Depth: 87.728km, Time: 2025-04-02 00:22:04.069000"
MINE356,Sial Ghoghri coal mine,Madhya Pradesh,22.16080555555556,78.70005555555556,underground,coal,450,05.04.2024,1,0,"A person was deployed for the supervision of dressing,   drilling, supporting, and blasting operations. The work was carried out under   his supervision until 13:10 hours, after which he left the panel without   informing any official. He was found lying unconscious on the ground in the   traveling roadway at about 14:30 hours. He was immediately carried to the   surface on a stretcher and transported to a nearby hospital, where the   medical officer on duty examined him and declared him brought dead after one   hour and 15 minutes.",24.5,38,overcast clouds,1.27,4,527.38,4.67,3.07,61.13,65.99,2.727906511704626,No Data,"Mag: 4.3, Depth: 35.761km, Time: 2025-04-02 18:01:33.433000 | Mag: 5, Depth: 10km, Time: 2025-04-02 16:27:12.271000 | Mag: 6.2, Depth: 25.989km, Time: 2025-04-02 14:03:57.428000 | Mag: 4.7, Depth: 10km, Time: 2025-04-02 10:45:06.095000 | Mag: 4.7, Depth: 11.223km, Time: 2025-04-02 04:35:28.132000"
MINE357,No.1 pit of the No. 2   Colliery of ECL,West Bengal,23.68583333333333,86.86097222222222,opencast,coal,300,02.04.2024,2,3,"Five laborers, doing pit repair work at a height of about   100 feet fell on the ground while one worker fell from the height of the pit   into the coal mine about 2200 feet deep below the pit.",27.89,19,broken clouds,1.45,4,834.47,15.77,11.21,72.81,97.85,3.035580251075896,No Data,"Mag: 4.3, Depth: 212.165km, Time: 2025-04-02 18:45:04.329000 | Mag: 4.3, Depth: 35.761km, Time: 2025-04-02 18:01:33.433000 | Mag: 5, Depth: 10km, Time: 2025-04-02 16:27:12.271000 | Mag: 6.2, Depth: 25.989km, Time: 2025-04-02 14:03:57.428000 | Mag: 4.7, Depth: 10km, Time: 2025-04-02 10:45:06.095000"
MINE358,Sulebyle Building Stone   Quarry  at survey no. 1,Karnataka,14.22755555555556,75.57777777777777,opencast,stone quarry,150,29.03.2024,1,0,"While two drillers were engaged in drilling blast holes on   a bench of building stone quarry by jackhammer drill, the drill rod   penetrated a misfired charge from a previous blast, resulting in an explosion   of the charge. This caused injuries to one of the drillers from flying   fragments, ultimately leading to his death during treatment at the hospital,   approximately nine hours later.",24.64,71,broken clouds,2.62,2,270.37,2.21,0.26,13.03,16.19,0.0,No Data,"Mag: 4.3, Depth: 35.761km, Time: 2025-04-02 18:01:33.433000 | Mag: 5, Depth: 10km, Time: 2025-04-02 16:27:12.271000 | Mag: 4.7, Depth: 10km, Time: 2025-04-02 10:45:06.095000 | Mag: 4.4, Depth: 87.728km, Time: 2025-04-02 00:22:04.069000 | Mag: 4.3, Depth: 52.02km, Time: 2025-04-02 00:19:27.488000"
MINE359,Mankhand GraniteMine,Rajasthan,25.99633333333334,75.28236111111111,opencast,Granite,150,19.03.2024,1,0,"While a person was guiding a truck driver reversing in the   stock yard of an opencast granite mine to position the truck in front of a   granite block (3.25m x 2.0m x 2.0m) for loading, he was suddenly hit by the   reversing truck. He was caught between the back of the truck and the granite   block, suffering serious injuries to which he succumbed instantly.",24.47,26,clear sky,2.67,3,370.5,4.24,3.1,29.81,51.91,3.46009077542619,No Data,"Mag: 4.3, Depth: 35.761km, Time: 2025-04-02 18:01:33.433000 | Mag: 5, Depth: 10km, Time: 2025-04-02 16:27:12.271000 | Mag: 4.7, Depth: 10km, Time: 2025-04-02 10:45:06.095000 | Mag: 4.7, Depth: 11.223km, Time: 2025-04-02 04:35:28.132000 | Mag: 4.4, Depth: 87.728km, Time: 2025-04-02 00:22:04.069000"
MINE360,Bharatpur Open Cast   Project Mine,Odisha,20.96130555555555,85.12377777777778,opencast,coal,150,14.03.2024,1,0,"While a Tipper was negotiating a curve of the roadway, it   hit an abandoned building adjacent to the road causing serious injuries to   the tipper driver to which he succumbed almost instantly. The tipper was   being driven beyond the speed limit prescribed.",24.43,75,few clouds,2.82,3,534.06,6.34,1.82,31.15,39.92,3.704791833718337,No Data,"Mag: 4.3, Depth: 212.165km, Time: 2025-04-02 18:45:04.329000 | Mag: 4.3, Depth: 35.761km, Time: 2025-04-02 18:01:33.433000 | Mag: 5, Depth: 10km, Time: 2025-04-02 16:27:12.271000 | Mag: 6.2, Depth: 25.989km, Time: 2025-04-02 14:03:57.428000 | Mag: 4.7, Depth: 10km, Time: 2025-04-02 10:45:06.095000"
MINE361,Palaspani Manganese   Mine,Madhya Pradesh,21.84077777777778,79.96272222222223,both,Manganese,150,13.03.2024,1,2,"While a crew of four members were carrying out mucking   operation in a hangwall ore drive of the mine, a part of roof measuring about   1.8m length X2m width X 0.20m thick fell on them, causing fatal injuries to   one person, serious bodily injuries to two persons and one person escaped   unhurt.",27.86,20,scattered clouds,2.48,4,567.44,4.84,2.62,58.41,62.61,0.9991103403734882,No Data,"Mag: 4.3, Depth: 35.761km, Time: 2025-04-02 18:01:33.433000 | Mag: 5, Depth: 10km, Time: 2025-04-02 16:27:12.271000 | Mag: 6.2, Depth: 25.989km, Time: 2025-04-02 14:03:57.428000 | Mag: 4.7, Depth: 10km, Time: 2025-04-02 10:45:06.095000 | Mag: 4.7, Depth: 11.223km, Time: 2025-04-02 04:35:28.132000"
MINE362,Kalyanikhani No. 1   incline Mine,Telangana,18.47936111111111,79.83913888888888,both,coal,150,13.03.2024,1,0,"While loading a bunch of W â€“ straps (Load) with the help   of a crane at Area stores of the mine, nylon sling suddenly snapped and the   load fell on a person who was guiding the load by standing in its close   proximity causing serious bodily injuries to his lower abdomen to which he   succumbed on the way to hospital.",28.89,44,few clouds,2.43,2,453.95,4.8,1.21,17.44,24.25,3.905592188856691,No Data,"Mag: 4.3, Depth: 212.165km, Time: 2025-04-02 18:45:04.329000 | Mag: 4.3, Depth: 35.761km, Time: 2025-04-02 18:01:33.433000 | Mag: 5, Depth: 10km, Time: 2025-04-02 16:27:12.271000 | Mag: 6.2, Depth: 25.989km, Time: 2025-04-02 14:03:57.428000 | Mag: 4.7, Depth: 10km, Time: 2025-04-02 10:45:06.095000"
MINE363,Pahara Stone Mine,Uttar Pradesh,25.22513888888889,80.76805555555555,opencast,stone quarry,150,12.03.2024,4,0,"While four persons were deployed at the bed of a quarry in   an opencast stone mine, which had a 73 m high bench towards the north-eastern   side, a side measuring about 33 m (length) by 53 m (height) by 5 m to 6 m   (thickness) suddenly separated from the north-eastern side high bench at a   height of about 20 m from the floor of the quarry. This collapse resulted in   the deaths of four persons, almost instantly.",28.4,18,overcast clouds,0.96,4,614.17,6.51,2.24,67.18,72.05,14.50849694100888,No Data,"Mag: 4.3, Depth: 35.761km, Time: 2025-04-02 18:01:33.433000 | Mag: 5, Depth: 10km, Time: 2025-04-02 16:27:12.271000 | Mag: 6.2, Depth: 25.989km, Time: 2025-04-02 14:03:57.428000 | Mag: 4.7, Depth: 10km, Time: 2025-04-02 10:45:06.095000 | Mag: 4.7, Depth: 11.223km, Time: 2025-04-02 04:35:28.132000"
MINE364,Garjanbahal Open Cast   Project Mine,Odisha,22.02111111111111,83.71388888888889,opencast,coal,150,09.03.2024,1,0,"While a Tipper operator got down the tipper at the working   face of an opencast coal mine, the tipper rolled down the gradient and the   operator attempting to board the moving tipper caught between tippers when it   collided with another tipper parked aside causing serious bodily injury to   which he succumbed on the way to hospital",26.03,11,broken clouds,4.31,4,423.91,1.82,11.8,57.56,70.28,3.836752913449106,No Data,"Mag: 4.3, Depth: 212.165km, Time: 2025-04-02 18:45:04.329000 | Mag: 4.3, Depth: 35.761km, Time: 2025-04-02 18:01:33.433000 | Mag: 5, Depth: 10km, Time: 2025-04-02 16:27:12.271000 | Mag: 6.2, Depth: 25.989km, Time: 2025-04-02 14:03:57.428000 | Mag: 4.7, Depth: 10km, Time: 2025-04-02 10:45:06.095000"
MINE365,Churcha Mine,Chhattisgarh,23.33416666666666,82.52,underground,coal,150,06.03.2024,1,0,"While escaping from pillar sides spalling/minor coal bump   in a Continuous Miner depillaring panel of the mine , the Continuous Miner   operator fell down, causing serious bodily injury on his head to which he   succumbed on the way to hospital.",24.3,14,overcast clouds,2.15,4,433.92,3.94,3.61,52.99,57.52,4.437008822765019,No Data,"Mag: 4.3, Depth: 212.165km, Time: 2025-04-02 18:45:04.329000 | Mag: 4.3, Depth: 35.761km, Time: 2025-04-02 18:01:33.433000 | Mag: 5, Depth: 10km, Time: 2025-04-02 16:27:12.271000 | Mag: 6.2, Depth: 25.989km, Time: 2025-04-02 14:03:57.428000 | Mag: 4.7, Depth: 10km, Time: 2025-04-02 10:45:06.095000"
MINE366,NMDC iron ore plant's   SP-3 mine,Chhattisgarh,19.10697222222223,82.16416666666667,opencast,iron ore,150,28.02.2024,4,0,"Fourteen miners were working when the mine caved in. Ten   managed to escape, but four were stuck in the tunnel and buried alive.",25.17,43,clear sky,3.08,3,433.92,3.38,2.03,41.11,49.02,4.334122761482973,No Data,"Mag: 4.3, Depth: 212.165km, Time: 2025-04-02 18:45:04.329000 | Mag: 4.3, Depth: 35.761km, Time: 2025-04-02 18:01:33.433000 | Mag: 5, Depth: 10km, Time: 2025-04-02 16:27:12.271000 | Mag: 6.2, Depth: 25.989km, Time: 2025-04-02 14:03:57.428000 | Mag: 4.7, Depth: 10km, Time: 2025-04-02 10:45:06.095000"
MINE367,Abandoned open cast   mine ,Chhattisgarh,22.0275,82.11241666666666,opencast,coal,150,22.02.2024,3,2,"Five people were engaged in illegal excavation of coal   from the mine when suddenly a portion of it collapsed and they got trapped   under the debris. Two of the five men managed to come out of the debris, but   three others remained trapped.",28.7,14,overcast clouds,2.93,4,534.06,3.98,3.76,64.54,68.93,3.836764611535392,No Data,"Mag: 4.3, Depth: 212.165km, Time: 2025-04-02 18:45:04.329000 | Mag: 4.3, Depth: 35.761km, Time: 2025-04-02 18:01:33.433000 | Mag: 5, Depth: 10km, Time: 2025-04-02 16:27:12.271000 | Mag: 6.2, Depth: 25.989km, Time: 2025-04-02 14:03:57.428000 | Mag: 4.7, Depth: 10km, Time: 2025-04-02 10:45:06.095000"
MINE368,Granite Mine,Rajasthan,24.80269444444444,72.98569444444445,opencast,Granite,150,21.02.2024,3,1,"While four drillers were working to drill split holes in a   detached granite block within an open-cast mine at a depth of approximately   32 meters, a portion of the high wall rock, measuring 14 meters in length, 12   meters in height, and 3 meters in thickness, collapsed on them. This resulted   in fatal injuries to three individuals and serious injuries to one person.",24.64,11,clear sky,0.77,3,347.14,3.98,2.65,24.05,54.63,3.578149224254038,No Data,"Mag: 4.3, Depth: 35.761km, Time: 2025-04-02 18:01:33.433000 | Mag: 5, Depth: 10km, Time: 2025-04-02 16:27:12.271000 | Mag: 4.7, Depth: 10km, Time: 2025-04-02 10:45:06.095000 | Mag: 4.4, Depth: 87.728km, Time: 2025-04-02 00:22:04.069000 | Mag: 4.3, Depth: 52.02km, Time: 2025-04-02 00:19:27.488000"
MINE369,Sri Someshwara   Properties  Pvt.Ltd.,Karnataka,13.02122222222222,77.61969444444443,opencast,coal,300,27.01.2024,1,0,"A foreman, after receiving blasting material (explosive   cartridges, electric detonators, and Nonel tubes) from an explosive van and   holding the electric detonators in his left hand, accidentally initiated them   [the source of initiation is not yet established]. This caused the detonation   of the electric detonators and subsequently initiated and exploded the Nonel   tubes (about 200 in number) which were lying on the ground nearby. The resulting   explosion caused serious burn injuries, to which he succumbed while   undergoing medical treatment in the hospital.",23.84,65,scattered clouds,2.85,2,393.87,8.48,7.39,19.01,22.94,4.227975673789809,No Data,"Mag: 4.3, Depth: 35.761km, Time: 2025-04-02 18:01:33.433000 | Mag: 5, Depth: 10km, Time: 2025-04-02 16:27:12.271000 | Mag: 4.7, Depth: 10km, Time: 2025-04-02 10:45:06.095000 | Mag: 4.7, Depth: 11.223km, Time: 2025-04-02 04:35:28.132000 | Mag: 4.4, Depth: 87.728km, Time: 2025-04-02 00:22:04.069000"
MINE370,Rathole mining,Nagaland,25.90525,93.69633333333334,opencast,coal,300,25.01.2024,6,4,Fire and subsequent explosion.,22.76,48,few clouds,0.88,5,667.57,3.04,2.0,94.86,106.65,1.030986937294904,No Data,"Mag: 4.3, Depth: 212.165km, Time: 2025-04-02 18:45:04.329000 | Mag: 4.3, Depth: 35.761km, Time: 2025-04-02 18:01:33.433000 | Mag: 5, Depth: 10km, Time: 2025-04-02 16:27:12.271000 | Mag: 4.3, Depth: 341.857km, Time: 2025-04-02 15:45:26.667000 | Mag: 6.2, Depth: 25.989km, Time: 2025-04-02 14:03:57.428000"
MINE371,Daharra Stone Mine    ,Uttar Pradesh,24.75208333333333,79.8531111111111,opencast,stone quarry,150,09.01.2024,1,0,"While a person was cleaning for preparing drilling area   for drilling short holes on top of a bench of about 38 m in height, he   slipped and felll down resulting serious bodily injuries to which he   succumbed",27.32,27,broken clouds,1.87,4,574.11,2.79,1.0,66.17,69.13,2.961352627238548,No Data,"Mag: 4.3, Depth: 35.761km, Time: 2025-04-02 18:01:33.433000 | Mag: 5, Depth: 10km, Time: 2025-04-02 16:27:12.271000 | Mag: 6.2, Depth: 25.989km, Time: 2025-04-02 14:03:57.428000 | Mag: 4.7, Depth: 10km, Time: 2025-04-02 10:45:06.095000 | Mag: 4.7, Depth: 11.223km, Time: 2025-04-02 04:35:28.132000"
MINE372,Narayankuri colliery ,West Bengal,23.59672222222222,87.09880555555556,opencast,coal,300,13.10.2023,3,10,"Unguarded open-cast mine, caved in and collapsed during illegal extraction activities.",27.41,51,few clouds,2.92,5,1255.04,19.54,10.73,123.69,152.39,1.854334168829563,No Data,"Mag: 4.3, Depth: 212.165km, Time: 2025-04-02 18:45:04.329000 | Mag: 4.3, Depth: 35.761km, Time: 2025-04-02 18:01:33.433000 | Mag: 5, Depth: 10km, Time: 2025-04-02 16:27:12.271000 | Mag: 6.2, Depth: 25.989km, Time: 2025-04-02 14:03:57.428000 | Mag: 4.7, Depth: 10km, Time: 2025-04-02 10:45:06.095000"
MINE373,Mid West Granite Company,Telangana,16.99380555555556,80.05288888888889,opencast,Granite,300,13.09.2023,1,0,"While blasting the granite, the stone fell on the deceased and was crushed.",26.54,71,broken clouds,2.06,2,390.53,7.63,13.47,22.13,30.97,2.14901087545978,No Data,"Mag: 4.3, Depth: 212.165km, Time: 2025-04-02 18:45:04.329000 | Mag: 4.3, Depth: 35.761km, Time: 2025-04-02 18:01:33.433000 | Mag: 5, Depth: 10km, Time: 2025-04-02 16:27:12.271000 | Mag: 6.2, Depth: 25.989km, Time: 2025-04-02 14:03:57.428000 | Mag: 4.7, Depth: 10km, Time: 2025-04-02 10:45:06.095000"
MINE374,GDK-11 incline underground coal mine,Telangana,18.6917,79.5494,underground,coal,300,18.08.2023,1,0,A portion of the side wall collapsed on him while working on the continuous miner panel.,29.58,44,broken clouds,1.31,2,607.49,13.54,6.62,21.68,33.57,4.721319377189308,No Data,"Mag: 4.3, Depth: 212.165km, Time: 2025-04-02 18:45:04.329000 | Mag: 4.3, Depth: 35.761km, Time: 2025-04-02 18:01:33.433000 | Mag: 5, Depth: 10km, Time: 2025-04-02 16:27:12.271000 | Mag: 6.2, Depth: 25.989km, Time: 2025-04-02 14:03:57.428000 | Mag: 4.7, Depth: 10km, Time: 2025-04-02 10:45:06.095000"
MINE376,Lloyds Metals and Energy Limited,Maharashtra,19.7704,79.8136,metallic,steelplant,200,07.08.2023,3,3,"Upon brake failure the tipper toppled over the camper which was waiting for a truck, which was unloading debris to repair the road, to give way.",30.53,39,broken clouds,1.82,3,453.95,4.54,1.74,40.77,46.3,2.94926177510507,No Data,"Mag: 4.3, Depth: 212.165km, Time: 2025-04-02 18:45:04.329000 | Mag: 4.3, Depth: 35.761km, Time: 2025-04-02 18:01:33.433000 | Mag: 5, Depth: 10km, Time: 2025-04-02 16:27:12.271000 | Mag: 6.2, Depth: 25.989km, Time: 2025-04-02 14:03:57.428000 | Mag: 4.7, Depth: 10km, Time: 2025-04-02 10:45:06.095000"
MINE378,Garjanbahal opencast mine ,Odisha,21.99527777777778,83.77388888888889,opencast,coal,300,12.04.2023,2,5,A 100 Tonne dumper operating in the mine collided with the MUV vehicle carrying two Executives and four Operators.,26.48,12,broken clouds,4.29,4,440.6,1.84,12.99,66.82,77.36,5.979978711666349,No Data,"Mag: 4.3, Depth: 212.165km, Time: 2025-04-02 18:45:04.329000 | Mag: 4.3, Depth: 35.761km, Time: 2025-04-02 18:01:33.433000 | Mag: 5, Depth: 10km, Time: 2025-04-02 16:27:12.271000 | Mag: 6.2, Depth: 25.989km, Time: 2025-04-02 14:03:57.428000 | Mag: 4.7, Depth: 10km, Time: 2025-04-02 10:45:06.095000"
MINE379,Rajgamar mine of SECL,Chhattisgarh,22.3906,82.8244,opencast,coal,300,05.07.2022,1,0,Overhead coal collection container fell on a truck parked underneath,26.22,15,overcast clouds,1.79,4,507.36,9.0,20.98,58.24,66.05,1.854334168853263,No Data,"Mag: 4.3, Depth: 212.165km, Time: 2025-04-02 18:45:04.329000 | Mag: 4.3, Depth: 35.761km, Time: 2025-04-02 18:01:33.433000 | Mag: 5, Depth: 10km, Time: 2025-04-02 16:27:12.271000 | Mag: 6.2, Depth: 25.989km, Time: 2025-04-02 14:03:57.428000 | Mag: 4.7, Depth: 10km, Time: 2025-04-02 10:45:06.095000"
MINE380,Illegal mining site of Kaparsa Colliery,Jharkhand,23.7585,86.7545,opencast,coal,300,09.05.2022,3,0,Due to mine roof collapse,28.2,11,overcast clouds,0.79,5,1001.36,22.62,16.93,81.69,112.2,10.84668611901161,No Data,"Mag: 4.3, Depth: 212.165km, Time: 2025-04-02 18:45:04.329000 | Mag: 4.3, Depth: 35.761km, Time: 2025-04-02 18:01:33.433000 | Mag: 5, Depth: 10km, Time: 2025-04-02 16:27:12.271000 | Mag: 6.2, Depth: 25.989km, Time: 2025-04-02 14:03:57.428000 | Mag: 4.7, Depth: 10km, Time: 2025-04-02 10:45:06.095000"
MINE381,Illegal mine in Khadakwani,Madhya Pradesh,22.08444444444444,75.46666666666667,opencast,quarry,150,22.02.2022,1,0,Due to mine collapse,32.27,27,overcast clouds,1.99,3,427.25,4.03,7.63,26.39,30.98,2.780288515528755,No Data,"Mag: 4.3, Depth: 35.761km, Time: 2025-04-02 18:01:33.433000 | Mag: 5, Depth: 10km, Time: 2025-04-02 16:27:12.271000 | Mag: 4.7, Depth: 10km, Time: 2025-04-02 10:45:06.095000 | Mag: 4.7, Depth: 11.223km, Time: 2025-04-02 04:35:28.132000 | Mag: 4.4, Depth: 87.728km, Time: 2025-04-02 00:22:04.069000"
MINE382,Coal mine in Shallang area of West Khasi Hills,Meghalaya,25.56594444444444,91.91069444444445,opencast,coal,300,16.02.2022,2,0,Due to asphyxiation,14.63,40,clear sky,1.5,5,534.06,3.17,5.78,87.94,103.42,7.653741859353187,No Data,"Mag: 4.3, Depth: 212.165km, Time: 2025-04-02 18:45:04.329000 | Mag: 4.3, Depth: 35.761km, Time: 2025-04-02 18:01:33.433000 | Mag: 5, Depth: 10km, Time: 2025-04-02 16:27:12.271000 | Mag: 4.3, Depth: 341.857km, Time: 2025-04-02 15:45:26.667000 | Mag: 6.2, Depth: 25.989km, Time: 2025-04-02 14:03:57.428000"
